power;focus;weld_velocity;penetration;weld_width
3500;-20;60;1.24;1.31
3500;-20;70;0.76;1.15
4000;-20;70;1.29;1.23
3500;-20;80;0.47;1.01
4000;-20;80;0.81;1.23
4500;-20;80;1.15;1.26
3500;-20;90;0.32;0.83
4000;-20;90;0.65;1.09
4500;-20;90;0.73;1.09
5000;-20;90;1.08;1.26
3500;-20;100;0.14;0.57
4000;-20;100;0.34;0.99
4500;-20;100;0.61;1.13
5000;-20;100;0.76;1.24
5500;-20;100;0.97;1.3
4000;-20;110;0.19;0.56
4500;-20;110;0.29;0.89
5000;-20;110;0.52;1.18
5500;-20;110;0.68;1.25
4500;-20;120;0.22;0.78
5000;-20;120;0.39;1.12
5500;-20;120;0.55;1.22
5000;-20;130;0.29;0.89
5500;-20;130;0.4;1.12
5500;-20;140;0.27;0.77
5500;-20;150;0.17;0.55
4000;-15;60;1.19;0.99
3500;-15;70;1.13;1.03
4000;-15;70;1.05;1.19
3500;-15;80;0.7;1.17
4000;-15;80;1.11;1.25
3500;-15;90;0.47;0.98
4000;-15;90;0.87;1.07
4500;-15;90;1.22;1.17
5000;-15;90;0.97;1.03
5500;-15;90;1.12;1.21
3500;-15;100;0.31;0.89
4000;-15;100;0.65;1.02
4500;-15;100;0.85;1.22
5000;-15;100;0.74;1.14
5500;-15;100;0.84;1.34
3500;-15;110;0.14;0.6
4000;-15;110;0.43;1.06
4500;-15;110;0.62;1.19
5000;-15;110;0.9;1.04
5500;-15;110;1.08;1.03
4000;-15;120;0.16;0.6
4500;-15;120;0.47;1.12
5000;-15;120;0.67;1.18
5500;-15;120;0.79;1.08
4500;-15;130;0.37;1.07
5000;-15;130;0.6;1.02
5500;-15;130;0.54;1.29
4500;-15;140;0.12;0.54
5000;-15;140;0.36;1.05
5500;-15;140;0.59;1.13
5000;-15;150;0.14;0.72
5500;-15;150;0.35;1.03
5000;-15;160;0.12;0.53
5500;-15;160;0.33;0.86
3500;-10;80;1.04;0.99
3500;-10;90;0.66;0.96
4000;-10;90;0.46;1.04
5500;-10;90;1.22;1.31
3500;-10;100;0.57;0.97
4000;-10;100;0.81;1.06
4500;-10;100;1.33;1.12
5000;-10;100;1.33;1.2
3500;-10;110;0.23;0.72
4000;-10;110;0.54;1.07
4500;-10;110;0.82;1
5000;-10;110;1.19;1.15
3500;-10;120;0.12;0.5
4000;-10;120;0.38;0.96
4500;-10;120;0.73;1.03
5000;-10;120;0.48;1.13
4000;-10;130;0.3;0.85
4500;-10;130;0.49;1
5000;-10;130;0.52;1.1
5500;-10;130;1.29;1.13
4000;-10;140;0.2;0.56
4500;-10;140;0.32;0.83
5000;-10;140;0.45;1.12
5500;-10;140;1.03;1.1
4500;-10;150;0.22;0.8
5000;-10;150;0.4;0.99
5500;-10;150;0.93;1.2
5000;-10;160;0.19;0.65
5500;-10;160;0.7;1.08
5500;-10;170;0.61;1.09
5500;-10;180;0.25;0.81
3500;-5;70;1.14;0.56
3500;-5;80;1.21;0.92
3500;-5;90;0.9;0.97
3500;-5;100;0.67;0.99
4000;-5;100;0.93;0.87
5000;-5;100;1.33;1.03
3500;-5;110;0.4;0.92
4000;-5;110;0.77;0.98
4500;-5;110;1.07;1.09
5000;-5;110;1.53;1.12
5500;-5;110;1.4;1.26
3500;-5;120;0.18;0.83
4000;-5;120;0.54;0.93
4500;-5;120;0.88;1.13
5000;-5;120;0.97;1.07
4000;-5;130;0.47;0.99
4500;-5;130;0.73;1.12
5000;-5;130;0.73;1.11
5500;-5;130;1.07;1.02
4000;-5;140;0.23;0.86
4500;-5;140;0.54;1
5000;-5;140;0.67;1.1
5500;-5;140;0.73;1.14
4000;-5;150;0.11;0.5
4500;-5;150;0.19;0.81
5000;-5;150;0.55;1
5500;-5;150;0.88;1.09
4500;-5;160;0.12;0.57
5000;-5;160;0.22;0.78
5500;-5;160;0.49;1.03
5000;-5;170;0.22;0.8
5500;-5;170;0.51;1.03
5000;-5;180;0.16;0.55
5500;-5;180;0.3;1
5500;-5;190;0.23;0.81
3500;0;90;1.07;0.93
3500;0;100;0.8;1.02
4000;0;100;1.02;1.15
3500;0;110;0.62;0.95
4000;0;110;0.76;1.01
4500;0;110;1.19;0.93
3500;0;120;0.27;0.81
4000;0;120;0.53;0.96
4500;0;120;0.93;1.11
5000;0;120;1.13;1.13
3500;0;130;0.29;0.9
4000;0;130;0.51;1
4500;0;130;0.87;1.07
5000;0;130;0.97;1.03
5500;0;130;1.3;0.95
4000;0;140;0.22;0.76
4500;0;140;0.46;1.02
5000;0;140;0.7;1
5500;0;140;0.99;1.01
4000;0;150;0.22;0.71
4500;0;150;0.43;0.88
